[2025-07-27 16:21:27.279] [info] Using configuration file /home/dxth/.config/waybar/config.jsonc
[2025-07-27 16:21:27.279] [info] Including resource file: ~/.config/waybar/modules.json
[2025-07-27 16:21:27.279] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.portal.Desktop was not provided by any .service files
[2025-07-27 16:21:27.279] [info] Using CSS file /home/dxth/.config/waybar/style.css
[2025-07-27 16:21:27.282] [info] Hyprland IPC starting
[2025-07-27 16:21:27.282] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.294] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1440, height: 42) for output: DP-3
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1920, height: 42) for output: HDMI-A-1
[2025-07-27 16:21:46.507] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:46.507] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:46.510] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:46.510] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:46.513] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:46.513] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.459] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.459] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.463] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.463] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.465] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:21:55.465] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 71 not found
[2025-07-27 16:22:02.556] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.556] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.560] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.560] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.562] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.562] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.562] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:02.562] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.115] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.115] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.119] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.119] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.122] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.122] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.122] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:37.122] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.597] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.597] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.601] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.601] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.604] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.604] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.604] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:41.604] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.981] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.981] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.986] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.986] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.988] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:42.989] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
